post,gemma4:e2b,llama3.1:8b,author,topic,words,gap
s14|r0|cars|gemma4:e2b,1.0,0.955,gemma4:e2b,cars,91,-0.045
s14|r0|cars|llama3.1:8b,0.879,0.97,llama3.1:8b,cars,60,0.091
s14|r0|cooking|gemma4:e2b,1.0,0.937,gemma4:e2b,cooking,90,-0.063
s14|r0|cooking|llama3.1:8b,1.0,0.848,llama3.1:8b,cooking,62,-0.152
s14|r0|farming|gemma4:e2b,0.901,0.972,gemma4:e2b,farming,80,0.07
s14|r0|farming|llama3.1:8b,0.901,1.0,llama3.1:8b,farming,97,0.099
s14|r0|personal_finance|gemma4:e2b,0.986,1.0,gemma4:e2b,personal_finance,93,0.014
s14|r0|personal_finance|llama3.1:8b,0.972,0.972,llama3.1:8b,personal_finance,79,0.0
s14|r0|tech|gemma4:e2b,0.569,0.931,gemma4:e2b,tech,78,0.361
s14|r0|tech|llama3.1:8b,0.681,0.889,llama3.1:8b,tech,78,0.208
s14|r1|cars|gemma4:e2b,0.909,0.909,gemma4:e2b,cars,89,0.0
s14|r1|cars|llama3.1:8b,0.848,0.833,llama3.1:8b,cars,87,-0.015
s14|r1|cooking|gemma4:e2b,0.987,0.962,gemma4:e2b,cooking,86,-0.025
s14|r1|cooking|llama3.1:8b,0.987,0.975,llama3.1:8b,cooking,79,-0.013
s14|r1|farming|gemma4:e2b,0.986,0.944,gemma4:e2b,farming,103,-0.042
s14|r1|farming|llama3.1:8b,1.0,0.901,llama3.1:8b,farming,92,-0.099
s14|r1|personal_finance|gemma4:e2b,1.0,0.903,gemma4:e2b,personal_finance,83,-0.097
s14|r1|personal_finance|llama3.1:8b,1.0,0.903,llama3.1:8b,personal_finance,84,-0.097
s14|r1|tech|gemma4:e2b,0.0,0.111,gemma4:e2b,tech,84,0.111
s14|r1|tech|llama3.1:8b,0.875,1.0,llama3.1:8b,tech,96,0.125
s14|r2|cars|gemma4:e2b,1.0,0.621,gemma4:e2b,cars,90,-0.379
s14|r2|cars|llama3.1:8b,1.0,0.848,llama3.1:8b,cars,63,-0.152
s14|r2|cooking|gemma4:e2b,0.861,0.924,gemma4:e2b,cooking,86,0.063
s14|r2|cooking|llama3.1:8b,0.291,0.949,llama3.1:8b,cooking,69,0.658
s14|r2|farming|gemma4:e2b,1.0,1.0,gemma4:e2b,farming,99,0.0
s14|r2|farming|llama3.1:8b,1.0,1.0,llama3.1:8b,farming,86,0.0
s14|r2|personal_finance|gemma4:e2b,0.806,0.917,gemma4:e2b,personal_finance,84,0.111
s14|r2|personal_finance|llama3.1:8b,0.833,0.944,llama3.1:8b,personal_finance,66,0.111
s14|r2|tech|gemma4:e2b,0.847,0.889,gemma4:e2b,tech,72,0.042
s14|r2|tech|llama3.1:8b,1.0,0.958,llama3.1:8b,tech,63,-0.042
s14|r3|cars|gemma4:e2b,0.318,0.697,gemma4:e2b,cars,90,0.379
s14|r3|cars|llama3.1:8b,0.788,0.894,llama3.1:8b,cars,78,0.106
s14|r3|cooking|gemma4:e2b,0.81,0.911,gemma4:e2b,cooking,94,0.101
s14|r3|cooking|llama3.1:8b,0.747,0.975,llama3.1:8b,cooking,70,0.228
s14|r3|farming|gemma4:e2b,1.0,0.887,gemma4:e2b,farming,96,-0.113
s14|r3|farming|llama3.1:8b,1.0,1.0,llama3.1:8b,farming,86,0.0
s14|r3|personal_finance|gemma4:e2b,0.944,0.875,gemma4:e2b,personal_finance,91,-0.069
s14|r3|personal_finance|llama3.1:8b,0.972,0.972,llama3.1:8b,personal_finance,78,0.0
s14|r3|tech|gemma4:e2b,1.0,0.889,gemma4:e2b,tech,85,-0.111
s14|r3|tech|llama3.1:8b,0.778,0.75,llama3.1:8b,tech,75,-0.028
s14|r4|cars|gemma4:e2b,0.727,0.939,gemma4:e2b,cars,89,0.212
s14|r4|cars|llama3.1:8b,0.924,0.939,llama3.1:8b,cars,99,0.015
s14|r4|cooking|gemma4:e2b,1.0,0.937,gemma4:e2b,cooking,85,-0.063
s14|r4|cooking|llama3.1:8b,0.987,0.949,llama3.1:8b,cooking,69,-0.038
s14|r4|farming|gemma4:e2b,0.958,0.746,gemma4:e2b,farming,90,-0.211
s14|r4|farming|llama3.1:8b,0.915,0.746,llama3.1:8b,farming,75,-0.169
s14|r4|personal_finance|gemma4:e2b,0.972,0.847,gemma4:e2b,personal_finance,95,-0.125
s14|r4|personal_finance|llama3.1:8b,1.0,0.917,llama3.1:8b,personal_finance,81,-0.083
s14|r4|tech|gemma4:e2b,1.0,0.972,gemma4:e2b,tech,87,-0.028
s14|r4|tech|llama3.1:8b,1.0,0.903,llama3.1:8b,tech,69,-0.097
s15|r0|cars|gemma4:e2b,0.818,0.909,gemma4:e2b,cars,98,0.091
s15|r0|cars|llama3.1:8b,0.197,0.924,llama3.1:8b,cars,90,0.727
s15|r0|cooking|gemma4:e2b,0.975,0.962,gemma4:e2b,cooking,95,-0.013
s15|r0|cooking|llama3.1:8b,0.911,0.848,llama3.1:8b,cooking,105,-0.063
s15|r0|farming|gemma4:e2b,0.944,0.887,gemma4:e2b,farming,92,-0.056
s15|r0|farming|llama3.1:8b,0.915,0.958,llama3.1:8b,farming,80,0.042
s15|r0|personal_finance|gemma4:e2b,1.0,0.931,gemma4:e2b,personal_finance,101,-0.069
s15|r0|personal_finance|llama3.1:8b,1.0,0.958,llama3.1:8b,personal_finance,65,-0.042
s15|r0|tech|gemma4:e2b,0.431,0.889,gemma4:e2b,tech,85,0.458
s15|r0|tech|llama3.1:8b,0.694,0.903,llama3.1:8b,tech,88,0.208
s15|r1|cars|gemma4:e2b,0.894,0.833,gemma4:e2b,cars,84,-0.061
s15|r1|cars|llama3.1:8b,0.879,0.924,llama3.1:8b,cars,60,0.045
s15|r1|cooking|gemma4:e2b,0.886,0.823,gemma4:e2b,cooking,77,-0.063
s15|r1|cooking|llama3.1:8b,0.886,0.759,llama3.1:8b,cooking,83,-0.127
s15|r1|farming|gemma4:e2b,0.986,0.887,gemma4:e2b,farming,93,-0.099
s15|r1|farming|llama3.1:8b,1.0,0.944,llama3.1:8b,farming,69,-0.056
s15|r1|personal_finance|gemma4:e2b,1.0,0.889,gemma4:e2b,personal_finance,85,-0.111
s15|r1|personal_finance|llama3.1:8b,1.0,0.931,llama3.1:8b,personal_finance,71,-0.069
s15|r1|tech|gemma4:e2b,1.0,0.972,gemma4:e2b,tech,88,-0.028
s15|r1|tech|llama3.1:8b,1.0,0.972,llama3.1:8b,tech,82,-0.028
s15|r2|cars|gemma4:e2b,1.0,0.833,gemma4:e2b,cars,89,-0.167
s15|r2|cars|llama3.1:8b,1.0,0.758,llama3.1:8b,cars,88,-0.242
s15|r2|cooking|gemma4:e2b,0.949,0.924,gemma4:e2b,cooking,80,-0.025
s15|r2|cooking|llama3.1:8b,0.937,0.937,llama3.1:8b,cooking,88,0.0
s15|r2|farming|gemma4:e2b,0.944,0.93,gemma4:e2b,farming,73,-0.014
s15|r2|farming|llama3.1:8b,1.0,0.93,llama3.1:8b,farming,75,-0.07
s15|r2|personal_finance|gemma4:e2b,1.0,0.986,gemma4:e2b,personal_finance,85,-0.014
s15|r2|personal_finance|llama3.1:8b,0.972,0.917,llama3.1:8b,personal_finance,85,-0.056
s15|r2|tech|gemma4:e2b,1.0,0.972,gemma4:e2b,tech,95,-0.028
s15|r2|tech|llama3.1:8b,1.0,0.972,llama3.1:8b,tech,80,-0.028
s15|r3|cars|gemma4:e2b,0.909,0.924,gemma4:e2b,cars,81,0.015
s15|r3|cars|llama3.1:8b,0.97,0.727,llama3.1:8b,cars,82,-0.242
s15|r3|cooking|gemma4:e2b,0.937,0.899,gemma4:e2b,cooking,72,-0.038
s15|r3|cooking|llama3.1:8b,1.0,0.962,llama3.1:8b,cooking,82,-0.038
s15|r3|farming|gemma4:e2b,0.986,0.915,gemma4:e2b,farming,93,-0.07
s15|r3|farming|llama3.1:8b,0.944,0.958,llama3.1:8b,farming,98,0.014
s15|r3|personal_finance|gemma4:e2b,0.889,0.889,gemma4:e2b,personal_finance,74,0.0
s15|r3|personal_finance|llama3.1:8b,0.764,0.833,llama3.1:8b,personal_finance,87,0.069
s15|r3|tech|gemma4:e2b,0.778,0.75,gemma4:e2b,tech,80,-0.028
s15|r3|tech|llama3.1:8b,0.972,0.903,llama3.1:8b,tech,68,-0.069
s15|r4|cars|gemma4:e2b,0.515,0.894,gemma4:e2b,cars,84,0.379
s15|r4|cars|llama3.1:8b,0.848,0.97,llama3.1:8b,cars,94,0.121
s15|r4|cooking|gemma4:e2b,0.582,0.835,gemma4:e2b,cooking,79,0.253
s15|r4|cooking|llama3.1:8b,1.0,0.975,llama3.1:8b,cooking,86,-0.025
s15|r4|farming|gemma4:e2b,0.831,0.958,gemma4:e2b,farming,90,0.127
s15|r4|farming|llama3.1:8b,0.197,0.451,llama3.1:8b,farming,76,0.254
s15|r4|personal_finance|gemma4:e2b,0.667,0.681,gemma4:e2b,personal_finance,85,0.014
s15|r4|personal_finance|llama3.1:8b,0.792,0.75,llama3.1:8b,personal_finance,95,-0.042
s15|r4|tech|gemma4:e2b,0.653,0.792,gemma4:e2b,tech,90,0.139
s15|r4|tech|llama3.1:8b,0.819,0.875,llama3.1:8b,tech,79,0.056
