post,gemma4:e2b,llama3.1:8b,author,topic,words,gap
s10|r0|cars|gemma4:e2b,0.394,0.667,gemma4:e2b,cars,83,0.273
s10|r0|cars|llama3.1:8b,0.515,0.848,llama3.1:8b,cars,78,0.333
s10|r0|cooking|gemma4:e2b,0.608,0.886,gemma4:e2b,cooking,92,0.278
s10|r0|cooking|llama3.1:8b,0.873,0.911,llama3.1:8b,cooking,67,0.038
s10|r0|farming|gemma4:e2b,0.986,1.0,gemma4:e2b,farming,81,0.014
s10|r0|farming|llama3.1:8b,1.0,0.958,llama3.1:8b,farming,79,-0.042
s10|r0|personal_finance|gemma4:e2b,1.0,0.917,gemma4:e2b,personal_finance,87,-0.083
s10|r0|personal_finance|llama3.1:8b,1.0,0.931,llama3.1:8b,personal_finance,70,-0.069
s10|r0|tech|gemma4:e2b,0.694,0.597,gemma4:e2b,tech,85,-0.097
s10|r0|tech|llama3.1:8b,0.625,0.847,llama3.1:8b,tech,92,0.222
s10|r1|cars|gemma4:e2b,0.561,0.833,gemma4:e2b,cars,80,0.273
s10|r1|cars|llama3.1:8b,0.879,0.712,llama3.1:8b,cars,72,-0.167
s10|r1|cooking|gemma4:e2b,1.0,0.949,gemma4:e2b,cooking,75,-0.051
s10|r1|cooking|llama3.1:8b,1.0,0.873,llama3.1:8b,cooking,78,-0.127
s10|r1|farming|gemma4:e2b,0.676,0.761,gemma4:e2b,farming,72,0.085
s10|r1|farming|llama3.1:8b,0.873,0.803,llama3.1:8b,farming,83,-0.07
s10|r1|personal_finance|gemma4:e2b,0.931,0.569,gemma4:e2b,personal_finance,88,-0.361
s10|r1|personal_finance|llama3.1:8b,0.986,1.0,llama3.1:8b,personal_finance,79,0.014
s10|r1|tech|gemma4:e2b,1.0,0.944,gemma4:e2b,tech,81,-0.056
s10|r1|tech|llama3.1:8b,0.875,0.917,llama3.1:8b,tech,81,0.042
s10|r2|cars|gemma4:e2b,0.818,0.848,gemma4:e2b,cars,73,0.03
s10|r2|cars|llama3.1:8b,0.864,0.909,llama3.1:8b,cars,74,0.045
s10|r2|cooking|gemma4:e2b,1.0,0.975,gemma4:e2b,cooking,80,-0.025
s10|r2|cooking|llama3.1:8b,1.0,0.759,llama3.1:8b,cooking,80,-0.241
s10|r2|farming|gemma4:e2b,0.803,0.817,gemma4:e2b,farming,75,0.014
s10|r2|farming|llama3.1:8b,0.915,0.789,llama3.1:8b,farming,72,-0.127
s10|r2|personal_finance|gemma4:e2b,1.0,0.917,gemma4:e2b,personal_finance,99,-0.083
s10|r2|personal_finance|llama3.1:8b,0.944,0.917,llama3.1:8b,personal_finance,80,-0.028
s10|r2|tech|gemma4:e2b,0.875,0.722,gemma4:e2b,tech,79,-0.153
s10|r2|tech|llama3.1:8b,0.806,0.917,llama3.1:8b,tech,76,0.111
s10|r3|cars|gemma4:e2b,1.0,0.939,gemma4:e2b,cars,81,-0.061
s10|r3|cars|llama3.1:8b,0.985,0.985,llama3.1:8b,cars,92,0.0
s10|r3|cooking|gemma4:e2b,0.924,0.899,gemma4:e2b,cooking,84,-0.025
s10|r3|cooking|llama3.1:8b,0.962,0.949,llama3.1:8b,cooking,69,-0.013
s10|r3|farming|gemma4:e2b,0.69,0.986,gemma4:e2b,farming,72,0.296
s10|r3|farming|llama3.1:8b,0.746,0.972,llama3.1:8b,farming,62,0.225
s10|r3|personal_finance|gemma4:e2b,0.917,0.972,gemma4:e2b,personal_finance,85,0.056
s10|r3|personal_finance|llama3.1:8b,0.944,0.986,llama3.1:8b,personal_finance,65,0.042
s10|r3|tech|gemma4:e2b,1.0,0.861,gemma4:e2b,tech,95,-0.139
s10|r3|tech|llama3.1:8b,1.0,0.889,llama3.1:8b,tech,92,-0.111
s10|r4|cars|gemma4:e2b,0.924,0.894,gemma4:e2b,cars,77,-0.03
s10|r4|cars|llama3.1:8b,0.909,0.97,llama3.1:8b,cars,81,0.061
s10|r4|cooking|gemma4:e2b,0.456,0.899,gemma4:e2b,cooking,79,0.443
s10|r4|cooking|llama3.1:8b,0.608,0.949,llama3.1:8b,cooking,88,0.342
s10|r4|farming|gemma4:e2b,0.704,0.986,gemma4:e2b,farming,76,0.282
s10|r4|farming|llama3.1:8b,0.901,1.0,llama3.1:8b,farming,67,0.099
s10|r4|personal_finance|gemma4:e2b,0.931,0.958,gemma4:e2b,personal_finance,86,0.028
s10|r4|personal_finance|llama3.1:8b,1.0,0.931,llama3.1:8b,personal_finance,63,-0.069
s10|r4|tech|gemma4:e2b,0.722,0.833,gemma4:e2b,tech,78,0.111
s10|r4|tech|llama3.1:8b,0.75,0.764,llama3.1:8b,tech,74,0.014
s11|r0|cars|gemma4:e2b,1.0,1.0,gemma4:e2b,cars,103,0.0
s11|r0|cars|llama3.1:8b,0.47,0.985,llama3.1:8b,cars,74,0.515
s11|r0|cooking|gemma4:e2b,0.532,0.873,gemma4:e2b,cooking,80,0.342
s11|r0|cooking|llama3.1:8b,0.582,0.886,llama3.1:8b,cooking,64,0.304
s11|r0|farming|gemma4:e2b,0.817,0.817,gemma4:e2b,farming,82,0.0
s11|r0|farming|llama3.1:8b,0.549,0.915,llama3.1:8b,farming,86,0.366
s11|r0|personal_finance|gemma4:e2b,0.75,0.944,gemma4:e2b,personal_finance,79,0.194
s11|r0|personal_finance|llama3.1:8b,0.917,0.889,llama3.1:8b,personal_finance,72,-0.028
s11|r0|tech|gemma4:e2b,0.389,0.639,gemma4:e2b,tech,87,0.25
s11|r0|tech|llama3.1:8b,0.208,0.681,llama3.1:8b,tech,75,0.472
s11|r1|cars|gemma4:e2b,0.5,0.924,gemma4:e2b,cars,93,0.424
s11|r1|cars|llama3.1:8b,0.106,0.97,llama3.1:8b,cars,88,0.864
s11|r1|cooking|gemma4:e2b,1.0,0.975,gemma4:e2b,cooking,81,-0.025
